dish_name,review_text
红烧肉,肉质软烂入味，肥而不腻，是我每次必点的菜，强烈推荐！
红烧肉,份量十足，口味偏甜，不太适合我，但家人很喜欢。
红烧肉,经典家常味道，让人怀念家里的饭菜，非常满意。
清炒时蔬,新鲜爽脆，调味清淡健康，适合减肥期间食用。
清炒时蔬,蔬菜有点老，炒过头了，口感一般。
麻婆豆腐,麻辣鲜香，豆腐嫩滑，下饭一绝！
麻婆豆腐,辣度适中，豆腐很嫩，就是肉末有点少。
麻婆豆腐,又麻又辣，口感层次丰富，非常喜欢这道菜！
糖醋里脊,酸甜可口，外酥里嫩，小朋友特别喜欢。
糖醋里脊,甜度稍微高了一点，但整体还不错，下次会再点。
白切鸡,鸡肉新鲜，皮滑肉嫩，蘸料搭配也很好，五星推荐！
白切鸡,鸡肉很嫩，火候控制得恰到好处，原汁原味。
蒜蓉粉丝蒸虾,虾新鲜弹牙，蒜蓉浓郁，粉丝吸饱了汤汁，太好吃了！
蒜蓉粉丝蒸虾,虾的大小不够统一，但味道还是很鲜美的。
番茄炒蛋,番茄汁水充足，鸡蛋嫩滑，简单家常却最暖心。
番茄炒蛋,味道有点淡，加点盐会更好，整体还算满意。
番茄炒蛋,经典搭配，每次来都要点，百吃不厌！
酸辣汤,酸辣适口，汤底鲜美，冬天喝特别暖胃。
酸辣汤,酸味稍重，但整体还是很好喝的，暖胃又开胃。
扬州炒饭,粒粒分明，蛋香浓郁，料足味鲜，非常满意！
扬州炒饭,炒饭火候到位，香气扑鼻，是不错的主食选择。
宫保鸡丁,鸡丁鲜嫩，花生香脆，口味经典，必点菜之一！
宫保鸡丁,辣度刚好，味道平衡，就是鸡丁块头有点小。
葱爆牛肉,牛肉嫩滑，葱香四溢，下饭效果一流！
葱爆牛肉,牛肉稍微有点老，葱味浓了些，但整体还算可以。
清蒸鲈鱼,鱼肉鲜嫩，清香扑鼻，鱼刺少，老人小孩都适合。
清蒸鲈鱼,鱼很新鲜，蒸得刚好，蘸汁完美，但价格偏高。
鱼香肉丝,味道地道，咸鲜微辣带酸，是一道非常开胃的下饭菜。
鱼香肉丝,肉丝有点干，酱汁可以再丰富一些，整体还好。
凉拌黄瓜,清爽解腻，麻辣口味很开胃，夏天必点！
凉拌黄瓜,口感还行，但调味稍淡，希望可以加重蒜香。
回锅肉,肉片厚薄适中，咸鲜微辣，下饭神菜！
回锅肉,猪肉处理得很好，没有腥味，调味恰到好处。
东坡肘子,肘子软烂脱骨，酱香浓郁，适合聚餐分享！
东坡肘子,份量大，性价比高，口感软糯，强烈推荐。
皮蛋豆腐,皮蛋和豆腐搭配清爽，酱汁调味刚好，简单美味。
皮蛋豆腐,皮蛋质量一般，但豆腐很嫩，整体可以接受。
酸菜鱼,鱼片嫩滑，酸菜开胃，汤底鲜美，非常满意！
酸菜鱼,酸辣程度适中，鱼片新鲜，性价比很高。
炒年糕,年糕软糯，炒制均匀，口感不错，但稍微有点甜。
炒年糕,咸甜平衡还好，年糕火候到位，是道不错的主食。
夫妻肺片,牛肉和牛杂处理得干净，麻辣酱汁味道层次丰富，非常好吃！
夫妻肺片,经典川菜，麻辣鲜香，蘸上花生碎口感更加丰富，赞！
红烧肉,等待时间稍长，但上菜后味道没有让人失望，值得一试。
清炒时蔬,服务员态度很好，菜品新鲜，下次还会来。
麻婆豆腐,豆腐太嫩容易碎，但味道确实很棒，是招牌菜。
白切鸡,鸡皮爽滑有弹性，配上姜葱汁恰到好处，非常满意。
扬州炒饭,米饭粒粒饱满，加了虾仁和火腿，份量很足，性价比高。
酸菜鱼,汤汁鲜美醇厚，酸菜的酸爽完美中和了鱼的鲜味，强烈推荐！
宫保鸡丁,鸡丁腌制入味，与花生和干辣椒的搭配堪称完美，必点。
夫妻肺片,调料丰富，麻辣鲜香，配上花生和芝麻，口感层次感强，满分！
